name,price,discount
"I Kall K500 Smartphone (4Gb Ram, 64Gb Internal Memory, ",Rs.5949,41% Off
"I Kall K6 Smart Phone (4GB Ram, 32GB Storage)",Rs.5819,35% Off
"I Kall K8 New (5.5Inch Display, 4G, 2GB RAM, 16GB ) Mob",Rs.4069,40% Off
I KALL K8 Infinity Screen 5.5 inch Dual Sim 4G  Mobile ,Rs.4229,42% Off
IKall K2 1 GB 8 GB Champagne Smart Phone,Rs.3329,45% Off
I Kall K4 Smart Phone(16 GB)  (2 GB RAM) Vibrant Blue,Rs.4069,42% Off
IKall K4 Smart Phone 4G VoLTE 2 GB 16 GB  with Bluetoot,Rs.4329,31% Off
"I KALL K7 (5.5 inch, Dual Sim, 4G, Infinity Screen, Gol",Rs.4069,32% Off
"I Kall K5 Smart Phone (Blue, 16 GB)  (2 GB RAM)",Rs.4069,32% Off
"I Kall K700 Smartphone (6.26 Inch Waterdrop Display, 4G",Rs.5799,36% Off
"I Kall K400 Smartphone (6 Inch Ips Display, 4Gb Ram, 64",Rs.5499,39% Off
"I Kall K600 Smartphone (5 Inch Display, 2GB RAM, 16GB I",Rs.3199,47% Off
"Ikall K1 (1 GB,8 GB,Gold)",Rs.3749,38% Off
"IKall K1 (1 GB, 8 GB, Gold, 4G VoLTE)",Rs.3749,25% Off
IKall K2 1 GB 8 GB Silver Smart Phone,Rs.3329,45% Off
"I Kall K3 (2GB Ram, 16GB Storage) (Gradient Red)",Rs.5339,24% Off
Apple iPhone X (3 GB/64 GB/Silver),Rs.81000,9% Off
Apple iPhone X 64 GB (3 GB/64 GB/Space Grey),Rs.89000,
"Nokia 3.1 (Blue/Copper,, 16 GB) (2 GB RAM)",Rs.10499,1% Off
"Nokia 6.1 (Black, Copper, 32 GB)  (3 GB RAM)",Rs.15699,13% Off
"I Kall K8 New (5.5Inch Display, 4G, 2GB RAM, 16GB ) Mob",Rs.4069,42% Off
Micromax Bolt Q327 (1 GB/8 GB/Grey),Rs.3295,49% Off
"Oppo A5s with 6.2''display, 3gb/32gb, 4230 mAh,Dual Rea",Rs.11990,
"OPPO F9 Pro (Twilight Blue, 64 GB)  (6 GB RAM)",Rs.16499,25% Off
"Oppo A5s with 6.2''display, 3gb/32gb, 4230 mAh,Dual Rea",Rs.11990,
"OPPO F9 Pro (Twilight Blue, 64 GB)  (6 GB RAM)",Rs.16499,25% Off
Intex Mobile Infie 33 Full View Display With Manufactur,Rs.14590,
New Micromax Mobile Canvas 2 (Q4310) 5 Inch AMOLED Disp,Rs.15990,
TASHAN TS 880 512 MB RAM 4GB (Gold) 3G Smartphone  5.1 ,Rs.2799,53% Off
Tashan TS-471 P20 Pro with 6 Display   Finger Unlock 28,Rs.3599,40% Off
"Intex Aqua Q8 (1 GB, 8 GB, White)",Rs.3495,30% Off
Blackberry Z10  1.5GHz  Dual Core  8MP  Full HD Recordi,Rs.6999,65% Off
Karbonn Titanium Jumbo 2 (2 GB/16 GB/Black),Rs.7800,
"Nokia 6.1 (Iron, White, 32 GB) (3 GB RAM)",Rs.15599,13% Off
nokia 3.1,Rs.13900,
"Redmi Note 6 Pro (Red, 64 GB)  (4 GB RAM)",Rs.13899,13% Off
Ikall K1 (1 GB/8 GB/Silver),Rs.3749,38% Off
"IKall K1 (4G VoLTE, 1 GB, 8 GB, Silver)",Rs.3749,38% Off
TASHAN TS-451  512 MB RAM 4GB ROM 5 Screen Android 5.1 ,Rs.2849,53% Off
"Nokia 3.1 (Black, 16 GB)  (2 GB RAM)",Rs.10499,1% Off
"Tashan TS-471 (Black, 4 GB) (512MBRAM)  2800 mAh Powerf",Rs.3599,60% Off
"I Kall K8 Plus (5.5 Inch Display, 2GB Ram, 16GB Interna",Rs.4549,35% Off
Tashan TS-471 P20 Pro with 6 Display  with Finger Unloc,Rs.3599,40% Off
IKall K1 5 Inch Screen Smart Phone 4G VoLTE 1 GB 8 GB S,Rs.4009,36% Off
BLACKBERRY Z10 BLACK,Rs.4990,69% Off
IKall K5 Smart Phone 4G VoLTE 2 GB 16 GB  with Bluetoot,Rs.4229,33% Off
Tashan TS-471 P20 Pro with 6 Display  with Finger Unloc,Rs.3599,40% Off
"I Kall K3 Smart Phone(2GB Ram, 16GB Storage)",Rs.5289,24% Off
intex aqua selfie mobile,Rs.5695,24% Off
"Black bear B6 Master (Champagne Gold, 8 GB)  (1 GB RAM)",Rs.3699,37% Off
"I KALL K8 (Infinity Screen, 5.7 inch, Dual Sim, 4G ) Mo",Rs.4069,42% Off
"I Kall K4 (Gold, 16 GB)  (2 GB RAM)",Rs.4129,31% Off
"I Kall K110 Smartphone (5.5 Inch Ips Display, 2Gb Ram, ",Rs.3699,47% Off
"NOKIA 2.1(Dual SIM,8 GB, 1 GB RAM, 5.5 inches DISPLAY, ",Rs.4549,41% Off
Comio S1 (2 GB/ 32 GB/ Sunrise Gold),Rs.7990,24% Off
Lenovo k6 power (3 GB/32 GB/Grey),Rs.9990,
Lenovo k6 power (4 GB/32 GB/Dark Grey),Rs.9990,
"Techno Spark Go Plus (Vacation Blue, 32 GB) (2 GB RAM)",Rs.7499,
Mtech FOTO 3 BlackSilver Android Smart Phone with Dual ,Rs.4299,14% Off
"Lenovo K8 Note (4 GB, 64 GB, Venom Black)",Rs.14999,12% Off
"Asus Zenfone Go 4.5 (1 GB, 8 GB, Black)",Rs.5950,4% Off
Honor Holly2 Plus (2 GB/16 GB/Gold),Rs.9100,52% Off
"REDMI A2 (Black , 4GB RAM, 64 GB)",Rs.17099,10% Off
Tecno Camon iClick 4+64GB,Rs.11999,14% Off
"Yuho O1 Full Vision (2GB, 16GB) Onyx Black",Rs.5299,
Vivo Y21L (1 GB/16 GB/White),Rs.8999,10% Off
"Infocus A2 (2 GB, 16 GB, Gold)",Rs.5490,2% Off
Huawei/Mate 30 Pro 5G Version Google Play Support Nfc G,Rs.109999,
YU YUNIQUE YU4711 Smartphone (Black),Rs.4495,55% Off
Intex Aqua Lions T1(1 GB/8 GB/Coffee),Rs.5695,5% Off
Redmi 8A 32GB 3GB RAM Smartphone New,Rs.11900,
"Micromax Selfie 2 Q4311 (3 GB, 32GB, Matte Black)",Rs.5695,43% Off
Micromax Bolt Q326 +(1 GB/8 GB/Grey),Rs.3295,
"Micromax Q381 (1 GB, 8 GB, BLACK)",Rs.3895,51% Off
"Micromax Vdeo 3 (1 GB, 8 GB, CHAMPAGNE)",Rs.4499,25% Off
YU YUNIQUE YU4711 Smartphone (Black),Rs.4495,55% Off
Intex Aqua Lions T1(1 GB/8 GB/Coffee),Rs.5695,5% Off
"Micromax Selfie 2 Q4311 (3 GB, 32GB, Matte Black)",Rs.5695,43% Off
GIONEE F205 2GB RAM 16GB ROM BLACK GOLD,Rs.4600,46% Off
"TASHAN TS-455 (1 GB RAM, 8 GB ROM, Android 5.1, Blue)",Rs.3299,45% Off
"Ikall K1 (1 GB, 8 GB, Black)",Rs.3749,38% Off
Micromax bharat2 plus (1/8GB) BLACK,Rs.3490,
TASHAN TS-461  2GB RAM/16ROM Dual SIM Mobile Phone 6 In,Rs.3599,40% Off
"OPPO F9 Pro (Sunrise Red, 64 GB)  (6 GB RAM)",Rs.16499,34% Off
"OPPO F9 Pro (Starry Purple, 64 GB)  (6 GB RAM)",Rs.17499,30% Off
"Nokia 6.1 (Blue, Gold, 32 GB) (3 GB RAM)",Rs.15699,13% Off
"Oppo A3s (Full HD, IPS/ 6.2 inches/ Dual Sim/ Android/ ",Rs.13990,
Lenovo k6 power (4 GB/32 GB/Silver),Rs.10690,9% Off
Lenovo k6 power (3 GB/32 GB/Gold),Rs.10999,
"LYF LYF Water 10 (3 GB,16 GB,Black)",Rs.6990,39% Off
"VOTO V2I (2 GB, 32 GB)",Rs.8799,
"Micromax Bolt Q346 (1 GB, 8 GB, Grey)",Rs.5990,
"Gionee P5W (1 GB, 16 GB, Red)",Rs.6000,20% Off
"Asus Zenfone 2 (4 GB,32 GB,Silver)",Rs.15999,28% Off
"Infocus A3 ,3000 mAh Battery (Jet Black)",Rs.5999,29% Off
"Karbonn K9 Smart (1 GB, 8 GB, Sandstorm Black)",Rs.5455,
Lenovo k6 power (3 GB/32 GB/Gold),Rs.10999,
MICROMAX CANVAS KNIGHT CAMEO A290 WHITE,Rs.4399,71% Off
"Intex Amaze Plus (1 GB, 8 GB, BLACK)",Rs.6000,
"Micromax Bolt Q346 (1 GB, 8 GB, Grey)",Rs.5990,
"VOTO V9 (5.85, 3GB+32GB, Fingerprint, Notch Display) Bl",Rs.6999,30% Off
"Redmi Note 6 Pro (Rose Gold, 64 GB)  (4 GB RAM)",Rs.13899,13% Off
Tashan TS 880 (Black) 3G Smartphone  5.1 Lollipop Andro,Rs.9999,
MICROMAX SELFIE 3 E460,Rs.7200,55% Off
Intex Aqua Trend Lite (Champagne),Rs.4499,
Intex Aqua Jewel 2(2 GB/16 GB/CHAMPAGNE),Rs.4795,28% Off
Intex Amaze Plus (1 GB/8 GB/Champagne),Rs.4595,43% Off
"Panasonic Eluga Tapp (2 GB, 16 GB, Silver Grey)",Rs.9399,6% Off
Intex Amaze Plus (Grey),Rs.3999,
"Intex ELYT DUAL (2 GB, 16 GB, BLACK)",Rs.4995,41% Off
"Intex Aqua Trend Lite (1 GB, 8 GB, Black)",Rs.4675,22% Off
Intex Aqua Lions X1(2 GB/16 GB/BLACK),Rs.7795,13% Off
Intex Aqua Lions 3 (Black),Rs.5895,
Micromax Bharat2 Plus (1/8Gb) Black,Rs.3399,24% Off
"Nokia 6.1 (Blue, Gold, 32 GB) (3 GB RAM)",Rs.14499,24% Off
"Nokia 6.1 (Black, Copper, 32 GB)  (3 GB RAM)",Rs.14499,24% Off
"HTC Desire 816G (1 GB, 8 GB, Blue)",Rs.16900,20% Off
Huawei bee 4g (1 GB/8 GB/Black),Rs.8000,
Vivo Y66 (3 GB/32 GB/Gold),Rs.19599,5% Off
Moto E4(2 GB/16 GB/GOLDEN),Rs.8999,
CELKON smart 4G(1 GB/8 GB/Gold),Rs.3199,29% Off
"Yuho O2 (2GB, 16GB) Smartphone- Gamma Red",Rs.6779,15% Off
Yuho Vast Plus 6.2 Inch 4G VoLTE   RAM 4GB  3000 mAh  D,Rs.9499,
"Micromax Canvas 2 Colors A120 (1 GB, 8 GB, White)",Rs.7975,31% Off
Comio C2 (2 GB/ 16 GB/ Royal Black),Rs.6800,15% Off
nokia 2.1,Rs.7688,
"ZIOX ASTRA METAL 4G (1 GB, 8 GB, Gold)",Rs.5200,
Lenovo A6000 Plus,Rs.8930,1% Off
Micromax Canvas Amaze Q395 ( Black Color ),Rs.5895,
"Micromax Q400 (1 GB,8 GB Black)",Rs.4895,
Intex Amaze Plus (1 GB/8 GB/Grey),Rs.4595,
"Intex Aqua Lions 4G (1 GB,8 GB,Black - Grey)",Rs.4795,20% Off
Micromax Bharat 4 (1/8gb)  matte blue,Rs.4495,25% Off
YU Yunique 2 plus (3/16 gb) champ,Rs.5695,29% Off
TASHAN TS-461  1GB RAM/8GB ROM(Blue) 6 Inch Screen Andr,Rs.5999,
"Nokia 6.1 (Iron, White, 32 GB) (3 GB RAM)",Rs.14499,24% Off
Tashan TS-444 2Gb 16GB  Gold - 1.3 Quad Core processorA,Rs.3849,36% Off
,,
,,
,,
